BirthCount, County, Year, Month
71,  rogers  85
57,
56,
73,
77,
58,
67,
74,
64,
72,
47,
73,
62,          86
64,
85,
66,
76,
70,
84,
74,
79,
80,
65,
70,
62,          87
64,
65,
61,
44,
61,
74,
72,
76,
68,
58,
71,
58,          88
67,
64,
45,
64,
69,
67,
57,
74,
66,
64,
67,
57,          89
67,
64,
60,
62,
87,
62,
71,
59,
64,
70,
62,
68,          90
56,
87,
65,
69,
76,
69,
75,
73,
80,
52,
65,
75,          91
49,
62,
70,
63,
70,
67,
63,
70,
76,
75,
68,
57,          92
71,
56,
64,
65,
74,
67,
69,
70,
52,
54,
75,
73,          93
66,
63,
68,
64,
79,
55,
78,
69,
64,
54,
76,
61,          94
54,
74,
56,
63,
64,
69,
88,
70,
58,
79,
64,
67,          95
60,
69,
72,
61,
78,
70,
94,
85,
65,
70,
65,
60,          96
71,
73,
61,
70,
66,
70,
66,
71,
72,
74,
64,
62,          97
61,
78,
74,
66,
73,
69,
65,
67,
78,
63,
76,
67,          98
77,
73,
72,
71,
76,
82,
77,
71,
62,
78,
56,
61,			99
68,
76,
68,
57,
56,
88,
77,
91,
81,
74,
82,
684,     tulsa  85
666,
742,
729,
765,
732,
794,
762,
760,
737,
726,
742,
729,            86
648,
725,
698,
671,
698,
751,
771,
725,
773,
667,
653,
661,            87
653,
697,
651,
685,
691,
744,
721,
711,
777,
695,
731,
637,            88
661,
691,
722,
692,
688,
777,
712,
762,
716,
680,
653,
655,            89
608,
666,
690,
723,
726,
758,
737,
765,
679,
694,
654,
737,            90
673,
779,
717,
712,
745,
777,
813,
742,
766,
705,
697,
704,            91
686,
722,
693,
722,
722,
827,
755,
824,
806,
717,
742,
683,            92
697,
728,
688,
708,
735,
788,
752,
734,
725,
670,
664,
661,            93
658,
756,
718,
710,
750,
734,
708,
781,
722,
688,
749,
681,            94
641,
721,
680,
675,
688,
674,
752,
715,
707,
595,
686,
691,            95
641,
665,
673,
676,
651,
674,
715,
693,
675,
692,
622,
667,            96
628,
656,
656,
632,
619,
749,
767,
749,
725,
630,
688,
695,            97
665,
699,
670,
679,
732,
796,
769,
776,
740,
750,
753,
774,            98
675,
733,
737,
778,
720,
788,
844,
793,
747,
749,
799,
748,			99
709,
779,
703,
721,
768,
795,
841,
819,
820,
721,
761,
53,    wagoner  85
44,
57,
44,
63,
50,
75,
62,
55,
75,
52,
57,
51,             86
54,
62,
42,
53,
43,
54,
58,
75,
42,
44,
61,
53,            87
52,
63,
40,
48,
44,
54,
55,
55,
56,
46,
52,
46,           88
55,
51,
46,
55,
37,
62,
60,
60,
57,
58,
53,
42,          89
60,
41,
64,
46,
60,
67,
63,
48,
61,
58,
43,
45,          90
38,
41,
34,
45,
52,
58,
54,
59,
60,
48,
60,
66,         91
60,
56,
54,
53,
52,
65,
61,
49,
74,
45,
61,
55,         92
53,
43,
48,
60,
54,
54,
61,
45,
67,
57,
51,
36,         93
48,
55,
61,
51,
43,
50,
61,
55,
54,
59,
58,
49,         94
47,
51,
49,
64,
63,
55,
60,
63,
45,
51,
50,
49,         95
43,
59,
48,
51,
67,
59,
63,
54,
73,
42,
56,
51,          96
30,
55,
56,
49,
57,
59,
67,
60,
56,
39,
54,
54,          97
56,
47,
57,
56,
50,
54,
68,
68,
45,
44,
56,
58,          98
63,
46,
53,
69,
59,
67,
64,
52,
51,
56,
49,
77,			99
49,
50,
42,
49,
69,
71,
61,
60,
58,
52,
58,
983, oklahoma 85
852,
929,
932,
949,
917,
1075,
1133,
1018,
971,
916,
922,
884,         86
842,
912,
869,
912,
888,
926,
931,
974,
955,
836,
915,
780,        87
840,
840,
846,
793,
842,
893,
900,
864,
834,
759,
853,
833,        88
810,
832,
812,
856,
858,
885,
927,
851,
857,
814,
811,
846,        89
819,
868,
820,
829,
830,
870,
949,
882,
868,
819,
852,
853,        90
758,
886,
871,
822,
834,
856,
861,
844,
880,
813,
799,
862,        91
728,
778,
849,
865,
780,
906,
913,
898,
929,
783,
869,
827,        92
795,
846,
820,
823,
837,
967,
863,
848,
839,
763,
848,
854,       93
794,
847,
809,
843,
864,
864,
908,
821,
868,
807,
808,
863,       94
805,
851,
793,
815,
869,
852,
942,
